id,category,mutation_name,plsql_construct,original_snippet,mutant_snippet,mutation_rule,why_it_matters,expected_observable_effect,tags,content
MUT-052,exception,SQLERRM Capture Mutation,exception text,v_msg := SQLERRM;,v_msg := NULL;,Remove or alter exception message capture.,Important when error text is part of the contract.,Error details are lost.,"['plsql', 'exception', 'sqlerrm', 'diagnostic']","SQLERRM Capture Mutation. In PL/SQL, this mutation targets exception text. Original example: v_msg := SQLERRM; Mutant example: v_msg := NULL; Mutation rule: Remove or alter exception message capture. Why it matters: Important when error text is part of the contract. Expected observable effect: Error details are lost."
MUT-053,cursor,Cursor WHERE Predicate Mutation,explicit cursor,CURSOR c IS SELECT * FROM t WHERE status = 'A';,CURSOR c IS SELECT * FROM t WHERE status = 'I';,Change the row-filtering predicate of an explicit cursor.,Catches incorrect record selection.,Different rows are fetched.,"['plsql', 'cursor', 'select', 'predicate']","Cursor WHERE Predicate Mutation. In PL/SQL, this mutation targets explicit cursor. Original example: CURSOR c IS SELECT * FROM t WHERE status = 'A'; Mutant example: CURSOR c IS SELECT * FROM t WHERE status = 'I'; Mutation rule: Change the row-filtering predicate of an explicit cursor. Why it matters: Catches incorrect record selection. Expected observable effect: Different rows are fetched."
MUT-054,cursor,FETCH Removal,fetch loop,FETCH c INTO v_rec;,-- FETCH c INTO v_rec;,Remove a fetch call from a cursor loop.,Exposes cursor loop and initialization bugs.,Loop uses stale or empty record state.,"['plsql', 'cursor', 'fetch', 'loop']","FETCH Removal. In PL/SQL, this mutation targets fetch loop. Original example: FETCH c INTO v_rec; Mutant example: -- FETCH c INTO v_rec; Mutation rule: Remove a fetch call from a cursor loop. Why it matters: Exposes cursor loop and initialization bugs. Expected observable effect: Loop uses stale or empty record state."
MUT-055,cursor,%NOTFOUND Inversion,cursor termination,EXIT WHEN c%NOTFOUND;,EXIT WHEN c%FOUND;,Invert cursor completion logic.,Useful for cursor iteration correctness.,Loop terminates too early or too late.,"['plsql', 'cursor', 'notfound', 'loop']","%NOTFOUND Inversion. In PL/SQL, this mutation targets cursor termination. Original example: EXIT WHEN c%NOTFOUND; Mutant example: EXIT WHEN c%FOUND; Mutation rule: Invert cursor completion logic. Why it matters: Useful for cursor iteration correctness. Expected observable effect: Loop terminates too early or too late."
MUT-056,cursor,CLOSE Removal,cursor lifecycle,CLOSE c;,-- CLOSE c;,Omit closing the cursor.,Checks resource cleanup and leak handling.,Cursor remains open or errors later.,"['plsql', 'cursor', 'close', 'resource']","CLOSE Removal. In PL/SQL, this mutation targets cursor lifecycle. Original example: CLOSE c; Mutant example: -- CLOSE c; Mutation rule: Omit closing the cursor. Why it matters: Checks resource cleanup and leak handling. Expected observable effect: Cursor remains open or errors later."
MUT-057,bulk,BULK COLLECT Limit Mutation,bulk collect,FETCH c BULK COLLECT INTO l_tab LIMIT 100;,FETCH c BULK COLLECT INTO l_tab LIMIT 10;,Change the fetch batch size.,Useful for batch-processing and memory-sensitive routines.,Number of iterations changes.,"['plsql', 'bulk', 'collect', 'limit']","BULK COLLECT Limit Mutation. In PL/SQL, this mutation targets bulk collect. Original example: FETCH c BULK COLLECT INTO l_tab LIMIT 100; Mutant example: FETCH c BULK COLLECT INTO l_tab LIMIT 10; Mutation rule: Change the fetch batch size. Why it matters: Useful for batch-processing and memory-sensitive routines. Expected observable effect: Number of iterations changes."
MUT-058,bulk,FORALL Index Range Mutation,forall statement,FORALL i IN 1..l_tab.COUNT INSERT INTO t VALUES l_tab(i);,FORALL i IN 2..l_tab.COUNT INSERT INTO t VALUES l_tab(i);,Shift the iteration range in FORALL.,Catches off-by-one issues in batch DML.,One row is skipped.,"['plsql', 'bulk', 'forall', 'dml']","FORALL Index Range Mutation. In PL/SQL, this mutation targets forall statement. Original example: FORALL i IN 1..l_tab.COUNT INSERT INTO t VALUES l_tab(i); Mutant example: FORALL i IN 2..l_tab.COUNT INSERT INTO t VALUES l_tab(i); Mutation rule: Shift the iteration range in FORALL. Why it matters: Catches off-by-one issues in batch DML. Expected observable effect: One row is skipped."
MUT-059,dynamic_sql,EXECUTE IMMEDIATE Text Mutation,dynamic SQL string,EXECUTE IMMEDIATE 'TRUNCATE TABLE t';,EXECUTE IMMEDIATE 'TRUNCATE TABLE x';,Mutate a dynamic SQL string literal.,PL/SQL dynamic SQL is runtime-sensitive and often overlooked in tests.,Wrong object is affected or query fails.,"['plsql', 'dynamic_sql', 'execute_immediate', 'runtime']","EXECUTE IMMEDIATE Text Mutation. In PL/SQL, this mutation targets dynamic SQL string. Original example: EXECUTE IMMEDIATE 'TRUNCATE TABLE t'; Mutant example: EXECUTE IMMEDIATE 'TRUNCATE TABLE x'; Mutation rule: Mutate a dynamic SQL string literal. Why it matters: PL/SQL dynamic SQL is runtime-sensitive and often overlooked in tests. Expected observable effect: Wrong object is affected or query fails."
MUT-060,dynamic_sql,Bind Variable Order Mutation,USING clause,"EXECUTE IMMEDIATE sql_stmt USING v1, v2;","EXECUTE IMMEDIATE sql_stmt USING v2, v1;",Swap bind variables in dynamic SQL execution.,Catches binding mistakes that compile fine but fail at runtime.,Runtime result changes or error occurs.,"['plsql', 'dynamic_sql', 'bind', 'using']","Bind Variable Order Mutation. In PL/SQL, this mutation targets USING clause. Original example: EXECUTE IMMEDIATE sql_stmt USING v1, v2; Mutant example: EXECUTE IMMEDIATE sql_stmt USING v2, v1; Mutation rule: Swap bind variables in dynamic SQL execution. Why it matters: Catches binding mistakes that compile fine but fail at runtime. Expected observable effect: Runtime result changes or error occurs."
MUT-061,dynamic_sql,Concatenation Delimiter Mutation,string assembly,sql_stmt := '... WHERE id=' || p_id;,sql_stmt := '... WHERE id' || p_id;,Break the SQL string by altering concatenation text.,Useful for detecting string-building fragility.,Dynamic SQL fails to parse.,"['plsql', 'dynamic_sql', 'string', 'concat']","Concatenation Delimiter Mutation. In PL/SQL, this mutation targets string assembly. Original example: sql_stmt := '... WHERE id=' || p_id; Mutant example: sql_stmt := '... WHERE id' || p_id; Mutation rule: Break the SQL string by altering concatenation text. Why it matters: Useful for detecting string-building fragility. Expected observable effect: Dynamic SQL fails to parse."
MUT-062,dynamic_sql,Quoted Literal Mutation,string literal in dynamic SQL,sql_stmt := 'INSERT INTO t VALUES (''A'')';,sql_stmt := 'INSERT INTO t VALUES (''B'')';,Change the quoted literal inside a dynamic statement.,Important for runtime-built business statements.,Different persisted value or branch.,"['plsql', 'dynamic_sql', 'literal', 'insert']","Quoted Literal Mutation. In PL/SQL, this mutation targets string literal in dynamic SQL. Original example: sql_stmt := 'INSERT INTO t VALUES (''A'')'; Mutant example: sql_stmt := 'INSERT INTO t VALUES (''B'')'; Mutation rule: Change the quoted literal inside a dynamic statement. Why it matters: Important for runtime-built business statements. Expected observable effect: Different persisted value or branch."
MUT-063,oracle_builtin,NVL Replacement,Oracle built-in function,"v := NVL(col, 0);","v := COALESCE(col, 0);",Replace a null-handling Oracle built-in with a compatible alternative.,The manuscript includes Oracle Function Replacement as a PL/SQL-specific operator.,Null fallback behavior changes.,"['plsql', 'oracle', 'nvl', 'builtin']","NVL Replacement. In PL/SQL, this mutation targets Oracle built-in function. Original example: v := NVL(col, 0); Mutant example: v := COALESCE(col, 0); Mutation rule: Replace a null-handling Oracle built-in with a compatible alternative. Why it matters: The manuscript includes Oracle Function Replacement as a PL/SQL-specific operator. Expected observable effect: Null fallback behavior changes."
MUT-064,oracle_builtin,SUBSTR Argument Mutation,Oracle built-in function,"v := SUBSTR(name, 1, 3);","v := SUBSTR(name, 2, 3);",Shift substring start or length arguments.,Catches formatting and parsing defects.,Different extracted text.,"['plsql', 'oracle', 'substr', 'string']","SUBSTR Argument Mutation. In PL/SQL, this mutation targets Oracle built-in function. Original example: v := SUBSTR(name, 1, 3); Mutant example: v := SUBSTR(name, 2, 3); Mutation rule: Shift substring start or length arguments. Why it matters: Catches formatting and parsing defects. Expected observable effect: Different extracted text."
MUT-065,oracle_builtin,TO_DATE Format Mutation,date conversion,"v_dt := TO_DATE(v_txt,'YYYY-MM-DD');","v_dt := TO_DATE(v_txt,'DD-MM-YYYY');",Change the date format mask.,Very useful in data-entry and ETL-style code.,Parsing fails or produces a different date.,"['plsql', 'oracle', 'to_date', 'datetime']","TO_DATE Format Mutation. In PL/SQL, this mutation targets date conversion. Original example: v_dt := TO_DATE(v_txt,'YYYY-MM-DD'); Mutant example: v_dt := TO_DATE(v_txt,'DD-MM-YYYY'); Mutation rule: Change the date format mask. Why it matters: Very useful in data-entry and ETL-style code. Expected observable effect: Parsing fails or produces a different date."
MUT-066,oracle_builtin,SYSDATE Shift,date/time function,v_dt := SYSDATE;,v_dt := SYSDATE - 1;,Shift the current date/time reference.,Catches date-window and expiry logic.,Different time-based branch executes.,"['plsql', 'oracle', 'sysdate', 'time']","SYSDATE Shift. In PL/SQL, this mutation targets date/time function. Original example: v_dt := SYSDATE; Mutant example: v_dt := SYSDATE - 1; Mutation rule: Shift the current date/time reference. Why it matters: Catches date-window and expiry logic. Expected observable effect: Different time-based branch executes."
MUT-067,sequence,NEXTVAL to CURRVAL,Oracle sequence usage,SELECT seq_orders.NEXTVAL INTO v_id FROM dual;,SELECT seq_orders.CURRVAL INTO v_id FROM dual;,Replace NEXTVAL with CURRVAL.,This is explicitly called out in the manuscript and is highly PL/SQL-specific.,Insert identifier generation changes or fails.,"['plsql', 'oracle', 'sequence', 'nextval']","NEXTVAL to CURRVAL. In PL/SQL, this mutation targets Oracle sequence usage. Original example: SELECT seq_orders.NEXTVAL INTO v_id FROM dual; Mutant example: SELECT seq_orders.CURRVAL INTO v_id FROM dual; Mutation rule: Replace NEXTVAL with CURRVAL. Why it matters: This is explicitly called out in the manuscript and is highly PL/SQL-specific. Expected observable effect: Insert identifier generation changes or fails."
MUT-068,package_state,Package Global Initialization,package variable,g_flag := 0;,g_flag := 1;,Mutate a package-level state initialization.,Useful in stateful package logic common in enterprise PL/SQL.,Subsequent calls behave differently.,"['plsql', 'package', 'state', 'global']","Package Global Initialization. In PL/SQL, this mutation targets package variable. Original example: g_flag := 0; Mutant example: g_flag := 1; Mutation rule: Mutate a package-level state initialization. Why it matters: Useful in stateful package logic common in enterprise PL/SQL. Expected observable effect: Subsequent calls behave differently."
MUT-069,package_state,Package Init Logic Removal,package body initialization,BEGIN g_cache := init_cache(); END;,BEGIN NULL; END;,Remove package initialization behavior.,Finds hidden dependency on package startup state.,First call or cached path fails.,"['plsql', 'package', 'initialization', 'state']","Package Init Logic Removal. In PL/SQL, this mutation targets package body initialization. Original example: BEGIN g_cache := init_cache(); END; Mutant example: BEGIN NULL; END; Mutation rule: Remove package initialization behavior. Why it matters: Finds hidden dependency on package startup state. Expected observable effect: First call or cached path fails."
MUT-070,package_state,Public Helper Routing Mutation,package procedure call,result := pkg_helper.compute(x);,result := pkg_helper.compute_alt(x);,Route a package call to an alternative helper.,Exposes interface-level assumptions and overloaded behavior.,Returned business value changes.,"['plsql', 'package', 'call', 'helper']","Public Helper Routing Mutation. In PL/SQL, this mutation targets package procedure call. Original example: result := pkg_helper.compute(x); Mutant example: result := pkg_helper.compute_alt(x); Mutation rule: Route a package call to an alternative helper. Why it matters: Exposes interface-level assumptions and overloaded behavior. Expected observable effect: Returned business value changes."
MUT-071,business_rule,Status Code Mutation,business status code,v_status := 'SUCCESS';,v_status := 'PARTIAL_SUCCESS';,Mutate a semantic business status code.,Useful in telecom/enterprise workflows where status values drive follow-up actions.,Different downstream branch or reporting state.,"['plsql', 'business', 'status', 'workflow']","Status Code Mutation. In PL/SQL, this mutation targets business status code. Original example: v_status := 'SUCCESS'; Mutant example: v_status := 'PARTIAL_SUCCESS'; Mutation rule: Mutate a semantic business status code. Why it matters: Useful in telecom/enterprise workflows where status values drive follow-up actions. Expected observable effect: Different downstream branch or reporting state."
MUT-072,business_rule,Audit Field Mutation,audit/persistence field,v_updated_by := p_user;,v_updated_by := 'SYSTEM';,Change who is recorded in audit metadata.,Helps verify persistence and accountability behavior.,Audit trail differs.,"['plsql', 'audit', 'persistence', 'metadata']","Audit Field Mutation. In PL/SQL, this mutation targets audit/persistence field. Original example: v_updated_by := p_user; Mutant example: v_updated_by := 'SYSTEM'; Mutation rule: Change who is recorded in audit metadata. Why it matters: Helps verify persistence and accountability behavior. Expected observable effect: Audit trail differs."
MUT-073,business_rule,Threshold Relaxation,validation threshold,IF amount >= min_amount THEN,IF amount > min_amount THEN,Relax a business threshold by one unit.,Classic boundary mutation for rule engines.,Boundary case is no longer accepted.,"['plsql', 'business', 'threshold', 'boundary']","Threshold Relaxation. In PL/SQL, this mutation targets validation threshold. Original example: IF amount >= min_amount THEN Mutant example: IF amount > min_amount THEN Mutation rule: Relax a business threshold by one unit. Why it matters: Classic boundary mutation for rule engines. Expected observable effect: Boundary case is no longer accepted."
MUT-074,business_rule,Threshold Tightening,validation threshold,IF amount <= max_amount THEN,IF amount < max_amount THEN,Tighten a business threshold by one unit.,Boundary case is excluded.,Boundary value is rejected.,"['plsql', 'business', 'threshold', 'boundary']","Threshold Tightening. In PL/SQL, this mutation targets validation threshold. Original example: IF amount <= max_amount THEN Mutant example: IF amount < max_amount THEN Mutation rule: Tighten a business threshold by one unit. Why it matters: Boundary case is excluded. Expected observable effect: Boundary value is rejected."
MUT-075,business_rule,Exception-to-Success Flip,return status logic,IF error THEN RETURN -1; END IF;,IF error THEN RETURN 0; END IF;,Change error signaling to success signaling.,Catches callers that do not verify return codes.,Error is silently accepted.,"['plsql', 'business', 'return_code', 'error']","Exception-to-Success Flip. In PL/SQL, this mutation targets return status logic. Original example: IF error THEN RETURN -1; END IF; Mutant example: IF error THEN RETURN 0; END IF; Mutation rule: Change error signaling to success signaling. Why it matters: Catches callers that do not verify return codes. Expected observable effect: Error is silently accepted."
MUT-076,business_rule,Data Verification Mutation,post-condition check,SELECT COUNT(*) INTO v_cnt FROM t WHERE id = p_id;,SELECT COUNT(*) INTO v_cnt FROM t WHERE id <> p_id;,Mutate the verification query used in test or code assertions.,Important because the manuscript found missing data verification as a major survival reason.,Wrong record count is observed.,"['plsql', 'verification', 'count', 'database_state']","Data Verification Mutation. In PL/SQL, this mutation targets post-condition check. Original example: SELECT COUNT(*) INTO v_cnt FROM t WHERE id = p_id; Mutant example: SELECT COUNT(*) INTO v_cnt FROM t WHERE id <> p_id; Mutation rule: Mutate the verification query used in test or code assertions. Why it matters: Important because the manuscript found missing data verification as a major survival reason. Expected observable effect: Wrong record count is observed."
MUT-077,paper_operator,Absolute Value Insertion,ABS operator,x := i + 1;,x := i + ABS(1);,Insert ABS around an arithmetic operand.,One of the manuscript's generic operators; useful for numeric logic.,Numeric value may or may not change depending on input.,"['plsql', 'gmo', 'abs', 'numeric']","Absolute Value Insertion. In PL/SQL, this mutation targets ABS operator. Original example: x := i + 1; Mutant example: x := i + ABS(1); Mutation rule: Insert ABS around an arithmetic operand. Why it matters: One of the manuscript's generic operators; useful for numeric logic. Expected observable effect: Numeric value may or may not change depending on input."
MUT-078,paper_operator,Constant Replacement,CRP/SCR operator,i := 5;,i := 1000000;,Replace a constant with a different constant.,High value when magic numbers encode workflow.,"Branch, overflow, or scaling behavior changes.","['plsql', 'gmo', 'constant', 'magic_number']","Constant Replacement. In PL/SQL, this mutation targets CRP/SCR operator. Original example: i := 5; Mutant example: i := 1000000; Mutation rule: Replace a constant with a different constant. Why it matters: High value when magic numbers encode workflow. Expected observable effect: Branch, overflow, or scaling behavior changes."
MUT-079,paper_operator,Relational Operator Replacement,ROR operator,IF x = 5 THEN,IF x != 5 THEN,Swap a relational comparison operator.,Core operator in the manuscript's operator set.,Branch outcome changes.,"['plsql', 'gmo', 'ror', 'relational']","Relational Operator Replacement. In PL/SQL, this mutation targets ROR operator. Original example: IF x = 5 THEN Mutant example: IF x != 5 THEN Mutation rule: Swap a relational comparison operator. Why it matters: Core operator in the manuscript's operator set. Expected observable effect: Branch outcome changes."
MUT-080,paper_operator,Logical Connector Replacement,LCR operator,IF a AND b THEN,IF a OR b THEN,Replace one logical connector with another.,Core operator in both generic and SQL families.,Condition satisfaction changes.,"['plsql', 'gmo', 'lcr', 'logical']","Logical Connector Replacement. In PL/SQL, this mutation targets LCR operator. Original example: IF a AND b THEN Mutant example: IF a OR b THEN Mutation rule: Replace one logical connector with another. Why it matters: Core operator in both generic and SQL families. Expected observable effect: Condition satisfaction changes."
MUT-081,paper_operator,Commit Removal,CMR operator,COMMIT;,-- COMMIT;,Explicitly remove COMMIT.,Paper includes this as a PL/SQL-specific operator and it is important for transaction semantics.,Persisted state is absent.,"['plsql', 'pmo', 'commit', 'paper_operator']","Commit Removal. In PL/SQL, this mutation targets CMR operator. Original example: COMMIT; Mutant example: -- COMMIT; Mutation rule: Explicitly remove COMMIT. Why it matters: Paper includes this as a PL/SQL-specific operator and it is important for transaction semantics. Expected observable effect: Persisted state is absent."
MUT-082,paper_operator,Rollback Removal,RBC operator,ROLLBACK;,-- ROLLBACK;,Explicitly remove ROLLBACK.,Paper includes this as a PL/SQL-specific operator.,Failure cleanup changes.,"['plsql', 'pmo', 'rollback', 'paper_operator']","Rollback Removal. In PL/SQL, this mutation targets RBC operator. Original example: ROLLBACK; Mutant example: -- ROLLBACK; Mutation rule: Explicitly remove ROLLBACK. Why it matters: Paper includes this as a PL/SQL-specific operator. Expected observable effect: Failure cleanup changes."
MUT-083,paper_operator,Exception Insertion,EXI operator,BEGIN ... END;,BEGIN RAISE TOO_MANY_ROWS; END;,Force a named exception path.,Paper includes exception insertion in PL/SQL-specific operators.,Exceptional branch is triggered.,"['plsql', 'pmo', 'exception', 'paper_operator']","Exception Insertion. In PL/SQL, this mutation targets EXI operator. Original example: BEGIN ... END; Mutant example: BEGIN RAISE TOO_MANY_ROWS; END; Mutation rule: Force a named exception path. Why it matters: Paper includes exception insertion in PL/SQL-specific operators. Expected observable effect: Exceptional branch is triggered."
MUT-084,paper_operator,Query Error Insertion,QER operator,EXECUTE IMMEDIATE 'TRUNCATE TABLE t';,EXECUTE IMMEDIATE 'TRUNCATE TABLEX t';,Introduce a query-level runtime error in dynamic SQL.,Paper includes this for dynamic SQL handling.,Runtime SQL execution fails.,"['plsql', 'pmo', 'dynamic_sql', 'paper_operator']","Query Error Insertion. In PL/SQL, this mutation targets QER operator. Original example: EXECUTE IMMEDIATE 'TRUNCATE TABLE t'; Mutant example: EXECUTE IMMEDIATE 'TRUNCATE TABLEX t'; Mutation rule: Introduce a query-level runtime error in dynamic SQL. Why it matters: Paper includes this for dynamic SQL handling. Expected observable effect: Runtime SQL execution fails."
MUT-085,paper_operator,Oracle Sequence Replacement,OSR operator,SELECT seq.NEXTVAL INTO v FROM dual;,SELECT seq.CURRVAL INTO v FROM dual;,Replace NEXTVAL with CURRVAL.,Paper explicitly introduces this as a PL/SQL-specific operator.,Identifier generation changes or fails.,"['plsql', 'pmo', 'sequence', 'paper_operator']","Oracle Sequence Replacement. In PL/SQL, this mutation targets OSR operator. Original example: SELECT seq.NEXTVAL INTO v FROM dual; Mutant example: SELECT seq.CURRVAL INTO v FROM dual; Mutation rule: Replace NEXTVAL with CURRVAL. Why it matters: Paper explicitly introduces this as a PL/SQL-specific operator. Expected observable effect: Identifier generation changes or fails."
